Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Four-Door Car,Basic,Offer3,Employed,Married,Doctor,1.0,63.0,174.086385,32893.0,2507.407815
Four-Door Car,Extended,Offer4,Employed,Married,Master,2.0,96.0,206.211089,81081.0,11546.17372
Four-Door Car,Basic,Offer1,Disabled,Divorced,Master,3.0,65.0,312.0,22886.0,5096.673223
Four-Door Car,Extended,Offer3,Medical Leave,Married,High School or Below,1.0,95.0,456.0,19013.0,3649.658983
SUV,Premium,Offer3,Unemployed,Divorced,High School or Below,1.0,140.0,672.0,0.0,4836.394361
Four-Door Car,Extended,Offer2,Disabled,Single,High School or Below,2.0,84.0,604.8,19245.0,15002.60308
Four-Door Car,Extended,Offer3,Employed,Married,Master,1.0,83.0,326.281835,60244.0,3237.996209
SUV,Extended,Offer1,Employed,Married,College,1.0,131.0,934.656068,33554.0,5237.477743
Two-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,1.0,72.0,345.6,0.0,2596.1852
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,3.0,93.0,41.617367,0.0,6560.815344
Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,3.0,68.0,29.209521,61546.0,5439.804227
SUV,Basic,Offer2,Employed,Married,College,1.0,108.0,112.660916,75648.0,4349.30875
Sports Car,Basic,Offer2,Employed,Divorced,Bachelor,1.0,104.0,710.433775,29549.0,4076.634665
Sports Car,Basic,Offer1,Unemployed,Divorced,High School or Below,1.0,116.0,1397.954723,0.0,3833.066768
Four-Door Car,Extended,Offer3,Unemployed,Single,Bachelor,1.0,88.0,633.6,0.0,2912.235077
SUV,Basic,Offer1,Unemployed,Married,College,2.0,112.0,682.422936,0.0,16414.04415
Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,1.0,62.0,264.461805,87492.0,2483.544888
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,9.0,88.0,142.062768,41837.0,6966.694527
Sports Car,Basic,Offer2,Unemployed,Single,Bachelor,6.0,116.0,835.2,0.0,7577.065297
SUV,Basic,Offer2,Employed,Single,Doctor,1.0,103.0,494.4,23599.0,3971.345097
Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,3.0,67.0,357.14996,0.0,4572.041785
SUV,Extended,Offer1,Employed,Married,Master,2.0,125.0,176.006384,77143.0,40235.9731
Four-Door Car,Premium,Offer3,Unemployed,Married,Bachelor,1.0,112.0,537.6,0.0,4035.769432
SUV,Basic,Offer2,Employed,Married,Bachelor,9.0,114.0,133.425609,82664.0,8838.085637
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,7.0,69.0,496.8,0.0,4803.935174
SUV,Basic,Offer4,Employed,Married,College,1.0,100.0,116.163,31409.0,3891.537785
Sports Car,Basic,Offer3,Employed,Married,Bachelor,2.0,107.0,230.245772,73760.0,25830.90982
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,1.0,68.0,11.451889,48039.0,2726.392968
SUV,Premium,Offer1,Employed,Single,High School or Below,3.0,175.0,833.072722,90343.0,13742.53724
Four-Door Car,Extended,Offer1,Medical Leave,Married,Bachelor,7.0,79.0,379.2,16654.0,6106.941981
SUV,Basic,Offer2,Employed,Married,College,3.0,115.0,449.428182,99185.0,9369.639891
SUV,Premium,Offer1,Employed,Married,College,7.0,146.0,503.144025,92931.0,11830.95192
SUV,Basic,Offer4,Employed,Divorced,High School or Below,3.0,111.0,532.8,86721.0,8828.834957
Four-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,1.0,73.0,329.013275,40987.0,2938.080327
Four-Door Car,Extended,Offer1,Employed,Single,High School or Below,2.0,80.0,384.0,75203.0,12682.25069
SUV,Basic,Offer1,Disabled,Married,High School or Below,9.0,101.0,500.633484,12677.0,7679.677721
Four-Door Car,Premium,Offer2,Employed,Married,College,1.0,103.0,480.073548,65085.0,4111.888285
Two-Door Car,Extended,Offer1,Unemployed,Divorced,Bachelor,5.0,95.0,456.0,0.0,6846.150323
Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,1.0,119.0,762.007253,49447.0,4739.34663
Four-Door Car,Premium,Offer1,Employed,Single,High School or Below,2.0,116.0,556.8,59207.0,13770.97618
Two-Door Car,Basic,Offer4,Disabled,Married,High School or Below,2.0,61.0,314.528138,15850.0,6945.016955
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,6.0,86.0,922.335972,39650.0,6767.806751
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,9.0,73.0,350.4,25472.0,5800.171881
Four-Door Car,Extended,Offer4,Unemployed,Single,Bachelor,2.0,97.0,1154.635974,0.0,24096.23695
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,61.0,292.8,41842.0,2410.498573
Four-Door Car,Basic,Offer1,Unemployed,Single,College,2.0,62.0,446.4,0.0,8415.644389
SUV,Extended,Offer1,Employed,Single,Bachelor,2.0,124.0,570.847354,59853.0,19454.40847
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,71.0,340.8,58620.0,17006.00256
SUV,Basic,Offer1,Medical Leave,Married,Bachelor,3.0,115.0,552.0,18846.0,9034.305834
Four-Door Car,Premium,Offer2,Employed,Divorced,Bachelor,1.0,111.0,60.036683,63774.0,4376.363592
Four-Door Car,Basic,Offer2,Employed,Single,Bachelor,2.0,71.0,234.771653,76797.0,16953.08411
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,6.0,71.0,29.03416,71811.0,5592.161392
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,6.0,63.0,160.52105,66933.0,5074.246068
SUV,Basic,Offer1,Retired,Divorced,College,3.0,106.0,508.8,21073.0,7805.31287
Four-Door Car,Premium,Offer1,Employed,Single,Bachelor,2.0,109.0,160.338007,22103.0,16407.66461
Four-Door Car,Premium,Offer1,Unemployed,Single,College,2.0,101.0,727.2,0.0,10189.65429
Four-Door Car,Basic,Offer1,Employed,Married,College,9.0,71.0,97.410282,32403.0,5583.830065
Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,64.0,460.8,0.0,2292.791874
Four-Door Car,Extended,Offer3,Employed,Divorced,High School or Below,1.0,92.0,354.455466,37843.0,3624.901612
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,3.0,73.0,234.997994,52278.0,5773.90039
Four-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,1.0,65.0,312.0,0.0,2254.931708
Four-Door Car,Extended,Offer2,Unemployed,Single,Bachelor,3.0,85.0,872.203927,0.0,5625.908671
Two-Door Car,Basic,Offer2,Employed,Married,College,1.0,70.0,442.199439,79507.0,2754.45676
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,9.0,72.0,345.6,36088.0,5528.212807
SUV,Basic,Offer1,Unemployed,Married,High School or Below,7.0,109.0,523.2,0.0,8160.689782
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,7.0,74.0,301.562622,73758.0,5923.518828
Two-Door Car,Basic,Offer1,Employed,Married,College,1.0,73.0,191.934494,45768.0,2931.155192
Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,1.0,68.0,386.977271,0.0,2524.646973
Four-Door Car,Extended,Offer2,Unemployed,Married,Master,1.0,83.0,398.4,0.0,3164.494011
Two-Door Car,Basic,Offer2,Medical Leave,Married,High School or Below,1.0,67.0,454.245098,25049.0,2566.867823
Four-Door Car,Extended,Offer2,Unemployed,Divorced,Bachelor,2.0,86.0,568.746405,0.0,21235.44557
Four-Door Car,Basic,Offer1,Employed,Divorced,College,2.0,71.0,319.131547,62989.0,8395.272249
Sports Car,Extended,Offer2,Employed,Married,College,1.0,136.0,57.712985,66429.0,5389.499465
Two-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,8.0,63.0,302.4,0.0,4228.734374
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,3.0,73.0,525.6,0.0,5132.684537
Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,1.0,65.0,312.0,0.0,2373.795076
Two-Door Car,Basic,Offer2,Unemployed,Divorced,Bachelor,3.0,68.0,230.109964,0.0,4318.088108
Two-Door Car,Basic,Offer1,Disabled,Single,High School or Below,3.0,61.0,292.8,11904.0,4254.620669
Four-Door Car,Basic,Offer3,Employed,Married,Master,1.0,66.0,475.2,29305.0,2641.446062
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,1.0,67.0,664.128009,0.0,2500.241685
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,4.0,77.0,491.848498,60884.0,6165.864761
Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,67.0,321.6,31911.0,2636.97773
Sports Car,Basic,Offer2,Employed,Divorced,College,2.0,116.0,663.643801,75425.0,36946.06393
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,9.0,65.0,232.879766,41533.0,5176.730072
Four-Door Car,Basic,Offer2,Employed,Divorced,High School or Below,1.0,73.0,525.6,27083.0,2839.56968
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,9.0,61.0,292.8,29193.0,4723.449803
Four-Door Car,Basic,Offer3,Employed,Divorced,Master,3.0,64.0,98.480884,40215.0,5066.827444
SUV,Extended,Offer1,Unemployed,Married,Master,3.0,127.0,22.483259,0.0,9259.715798
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,2.0,61.0,71.942176,96917.0,17263.64048
Four-Door Car,Basic,Offer3,Employed,Married,Master,2.0,65.0,297.864823,26990.0,15445.66166
Four-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,8.0,82.0,590.4,0.0,5880.256499
Four-Door Car,Extended,Offer3,Disabled,Married,High School or Below,1.0,85.0,457.783791,27431.0,3312.176781
SUV,Extended,Offer1,Unemployed,Divorced,Bachelor,2.0,139.0,667.2,0.0,14635.45158
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3.0,61.0,152.496995,36839.0,4862.908979
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,74.0,355.2,46131.0,2969.593296
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,7.0,84.0,599.000883,56980.0,6689.022728
Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,67.0,277.685667,65473.0,8007.349108
Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,9.0,93.0,669.6,24672.0,7297.687812
SUV,Basic,Offer1,Employed,Married,High School or Below,9.0,114.0,373.428187,21474.0,8668.611261
Four-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,1.0,82.0,393.6,25820.0,3265.156348
Luxury Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,187.0,1346.4,0.0,19957.79034
Luxury SUV,Basic,Offer2,Employed,Single,High School or Below,2.0,194.0,744.769131,69240.0,23086.36478
Four-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,1.0,64.0,307.2,49136.0,2496.167004
Two-Door Car,Basic,Offer3,Medical Leave,Married,Bachelor,1.0,64.0,307.2,16258.0,2410.105206
Four-Door Car,Premium,Offer2,Unemployed,Single,Bachelor,3.0,114.0,1310.46158,0.0,8150.573759
Sports Car,Basic,Offer2,Employed,Married,High School or Below,2.0,109.0,523.2,20090.0,34611.37896
Two-Door Car,Premium,Offer1,Employed,Married,College,2.0,102.0,489.6,88340.0,12280.76661
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,1.0,86.0,134.430084,65162.0,3482.687007
Four-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1.0,66.0,159.636956,0.0,2365.348601
Two-Door Car,Basic,Offer1,Disabled,Married,High School or Below,9.0,62.0,440.189611,23634.0,4803.777507
Luxury SUV,Basic,Offer1,Unemployed,Single,Bachelor,2.0,194.0,931.2,0.0,19606.35999
Four-Door Car,Basic,Offer2,Employed,Divorced,High School or Below,8.0,61.0,156.921247,57135.0,4762.591249
Four-Door Car,Extended,Offer4,Employed,Married,Bachelor,3.0,88.0,491.384479,94508.0,7074.398104
SUV,Basic,Offer4,Unemployed,Married,Bachelor,3.0,119.0,244.816163,0.0,8647.139152
Four-Door Car,Extended,Offer1,Unemployed,Single,College,9.0,92.0,662.4,0.0,5553.756551
Four-Door Car,Premium,Offer2,Employed,Married,Bachelor,1.0,117.0,784.186389,60466.0,4666.643522
Four-Door Car,Extended,Offer2,Employed,Married,College,1.0,95.0,281.110788,93272.0,3861.486269
SUV,Premium,Offer1,Employed,Married,Bachelor,8.0,144.0,422.78411,27362.0,11447.5071
Sports Car,Extended,Offer1,Retired,Divorced,College,1.0,139.0,667.2,12902.0,4904.894731
Sports Car,Basic,Offer1,Unemployed,Divorced,High School or Below,3.0,112.0,537.6,0.0,8007.399376
Four-Door Car,Basic,Offer1,Unemployed,Divorced,Bachelor,2.0,64.0,307.2,0.0,11513.16291
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1.0,72.0,326.242099,62579.0,2885.328202
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2.0,72.0,299.788806,53223.0,8535.108303
Four-Door Car,Extended,Offer2,Medical Leave,Single,Bachelor,1.0,99.0,712.8,12287.0,3700.420255
Four-Door Car,Basic,Offer3,Unemployed,Single,Master,1.0,64.0,286.124652,0.0,2272.30731
Two-Door Car,Basic,Offer4,Unemployed,Single,College,1.0,62.0,446.4,0.0,2121.647053
Two-Door Car,Basic,Offer2,Disabled,Married,Bachelor,1.0,69.0,383.224514,22000.0,2616.409509
Sports Car,Extended,Offer1,Employed,Married,High School or Below,1.0,139.0,336.612234,98917.0,5657.685223
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,9.0,74.0,355.2,88370.0,5794.104234
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,71.0,791.878042,25998.0,8382.478392
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,2.0,65.0,390.792553,63568.0,7776.835189
Four-Door Car,Extended,Offer3,Employed,Single,High School or Below,9.0,81.0,353.592003,87210.0,6486.111674
SUV,Basic,Offer4,Employed,Married,Master,1.0,114.0,691.412378,84394.0,4601.634099
Sports Car,Basic,Offer3,Employed,Married,College,3.0,105.0,75.330276,26448.0,8376.332294
Four-Door Car,Basic,Offer1,Employed,Married,College,6.0,73.0,268.819985,97413.0,5904.088162
Luxury SUV,Basic,Offer1,Employed,Married,Master,3.0,197.0,518.78464,40467.0,15167.04402
Sports Car,Basic,Offer3,Disabled,Married,High School or Below,1.0,112.0,537.6,23124.0,4372.490855
Four-Door Car,Premium,Offer1,Employed,Married,High School or Below,3.0,103.0,494.4,71034.0,8283.066678
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2.0,66.0,316.8,57591.0,13009.24125
Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,1.0,86.0,32.715179,97162.0,3459.037949
Two-Door Car,Basic,Offer3,Employed,Divorced,College,1.0,62.0,42.248087,83772.0,2453.408288
Four-Door Car,Extended,Offer2,Employed,Single,Doctor,3.0,78.0,223.950089,57760.0,6236.018595
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1.0,97.0,451.319227,30821.0,3911.118202
Four-Door Car,Basic,Offer3,Employed,Divorced,College,7.0,68.0,257.090387,57587.0,5418.152088
SUV,Extended,Offer1,Employed,Married,College,3.0,137.0,311.103582,44552.0,10990.59477
Two-Door Car,Basic,Offer3,Unemployed,Married,College,6.0,69.0,72.852047,0.0,5050.826183
Four-Door Car,Extended,Offer4,Employed,Married,Bachelor,1.0,79.0,905.699717,31177.0,3139.169353
Four-Door Car,Basic,Offer1,Unemployed,Single,College,1.0,73.0,350.4,0.0,2660.009874
Four-Door Car,Premium,Offer2,Disabled,Divorced,High School or Below,4.0,108.0,591.511506,12181.0,7942.448548
Four-Door Car,Extended,Offer1,Employed,Married,Master,1.0,88.0,55.510526,58557.0,3554.845264
Two-Door Car,Basic,Offer1,Disabled,Married,College,4.0,72.0,345.6,22679.0,5570.17755
Four-Door Car,Premium,Offer1,Unemployed,Married,College,1.0,102.0,489.6,0.0,3799.746262
SUV,Extended,Offer2,Employed,Married,High School or Below,4.0,129.0,359.484342,64825.0,10298.38586
Four-Door Car,Basic,Offer3,Employed,Married,College,3.0,67.0,334.892437,69050.0,5375.842787
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,3.0,71.0,340.8,74454.0,5595.389905
Four-Door Car,Basic,Offer1,Employed,Single,Master,6.0,68.0,159.631303,49414.0,4999.34581
Sports Car,Extended,Offer1,Unemployed,Single,High School or Below,2.0,129.0,1267.549091,0.0,35984.10457
Four-Door Car,Basic,Offer4,Employed,Married,College,1.0,62.0,297.6,24409.0,2427.770513
Two-Door Car,Basic,Offer2,Medical Leave,Married,Bachelor,1.0,73.0,350.4,11167.0,2568.843396
Four-Door Car,Basic,Offer4,Disabled,Married,Bachelor,2.0,72.0,430.818992,25970.0,7778.005623
Four-Door Car,Extended,Offer1,Employed,Married,Doctor,2.0,93.0,381.960657,31409.0,11154.67599
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,1.0,92.0,441.6,93308.0,3713.803592
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,3.0,88.0,52.752601,26255.0,7031.785183
Two-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,3.0,62.0,639.758314,0.0,4549.079221
Four-Door Car,Basic,Offer2,Medical Leave,Single,High School or Below,4.0,73.0,350.4,12430.0,5169.49937
Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,3.0,102.0,489.6,77282.0,8209.054963
Four-Door Car,Basic,Offer3,Employed,Single,High School or Below,1.0,70.0,21.143072,30916.0,2734.328157
Luxury SUV,Extended,Offer4,Employed,Married,Bachelor,3.0,213.0,363.865389,87139.0,17109.39447
Two-Door Car,Basic,Offer3,Unemployed,Married,High School or Below,1.0,70.0,484.318536,0.0,2652.061785
Two-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,2.0,65.0,312.0,23530.0,7478.313695
SUV,Basic,Offer2,Unemployed,Single,High School or Below,2.0,117.0,930.594707,0.0,12234.36232
Four-Door Car,Extended,Offer2,Unemployed,Married,Bachelor,3.0,76.0,364.8,0.0,5678.050167
SUV,Extended,Offer1,Employed,Single,Master,2.0,136.0,570.388228,41671.0,16261.16768
SUV,Basic,Offer2,Medical Leave,Married,High School or Below,2.0,100.0,480.0,28513.0,15114.40241
Four-Door Car,Extended,Offer1,Medical Leave,Married,Master,4.0,77.0,151.550875,23749.0,6005.027312
Four-Door Car,Extended,Offer2,Employed,Married,College,1.0,90.0,289.236063,75333.0,3580.261881
Four-Door Car,Basic,Offer1,Unemployed,Divorced,College,1.0,66.0,316.8,0.0,2004.350666
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,2.0,65.0,114.798771,92079.0,20708.25881
Four-Door Car,Premium,Offer3,Employed,Married,Bachelor,8.0,109.0,60.151529,52717.0,8679.838135
Two-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,3.0,81.0,529.45565,27835.0,6376.754915
Two-Door Car,Basic,Offer4,Unemployed,Single,Bachelor,2.0,69.0,331.2,0.0,15984.52739
Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,2.0,84.0,145.990089,33901.0,20003.14091
Four-Door Car,Basic,Offer3,Employed,Single,College,2.0,67.0,302.272725,28651.0,12817.41348
Two-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,2.0,89.0,427.2,55510.0,10676.58892
SUV,Basic,Offer2,Employed,Married,Bachelor,1.0,106.0,580.091966,36723.0,4171.300175
SUV,Extended,Offer2,Employed,Single,Master,2.0,126.0,452.616872,35296.0,29194.36639
Two-Door Car,Extended,Offer3,Employed,Married,College,3.0,82.0,672.026958,46750.0,6444.076976
Two-Door Car,Basic,Offer4,Employed,Single,Bachelor,1.0,64.0,165.570243,68041.0,2497.808174
Four-Door Car,Basic,Offer1,Unemployed,Divorced,College,1.0,66.0,316.8,0.0,2004.350666
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,9.0,74.0,355.2,50217.0,5914.951808
Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,2.0,82.0,393.6,23923.0,9824.745841
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,99.0,882.871945,60021.0,3939.00637
Four-Door Car,Basic,Offer3,Employed,Married,Master,2.0,68.0,160.07526,27658.0,8032.401911
Luxury Car,Extended,Offer2,Unemployed,Single,High School or Below,6.0,207.0,1490.4,0.0,14246.14841
Two-Door Car,Basic,Offer2,Employed,Single,College,1.0,71.0,18.918935,50071.0,2771.045031
Four-Door Car,Premium,Offer2,Employed,Married,College,1.0,107.0,513.6,60475.0,4330.38602
Two-Door Car,Basic,Offer1,Employed,Divorced,College,3.0,68.0,91.8198,89092.0,5383.670919
Two-Door Car,Extended,Offer2,Employed,Married,College,8.0,96.0,460.8,43137.0,7761.267839
Two-Door Car,Premium,Offer4,Unemployed,Married,College,2.0,102.0,401.528957,0.0,22305.32351
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,4.0,65.0,312.0,26890.0,5119.901412
SUV,Extended,Offer1,Employed,Married,College,3.0,129.0,619.2,35482.0,10208.92761
Four-Door Car,Basic,Offer4,Employed,Married,College,1.0,70.0,279.714859,39646.0,2769.72527
Two-Door Car,Extended,Offer1,Unemployed,Divorced,Bachelor,1.0,77.0,404.82483,0.0,2724.430809
Four-Door Car,Extended,Offer4,Employed,Divorced,High School or Below,3.0,78.0,374.4,57734.0,6243.141785
Four-Door Car,Basic,Offer2,Employed,Married,Master,1.0,69.0,56.60333,36650.0,2725.356404
Two-Door Car,Extended,Offer1,Disabled,Married,Bachelor,2.0,87.0,417.6,17103.0,9671.98323
Four-Door Car,Basic,Offer1,Disabled,Married,College,1.0,69.0,238.952528,16976.0,2631.87754
Four-Door Car,Extended,Offer4,Employed,Single,College,2.0,76.0,109.476994,52436.0,11960.47577
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,4.0,74.0,582.420512,0.0,5162.370678
SUV,Basic,Offer3,Employed,Single,College,1.0,104.0,499.2,60759.0,4089.463358
SUV,Extended,Offer1,Employed,Married,High School or Below,5.0,134.0,614.03209,62053.0,10827.87278
Two-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,9.0,65.0,467.803638,75644.0,4974.801539
Two-Door Car,Basic,Offer1,Unemployed,Married,Master,1.0,74.0,263.365432,0.0,2738.001957
Four-Door Car,Extended,Offer3,Unemployed,Single,College,1.0,81.0,583.2,0.0,2821.448707
Four-Door Car,Extended,Offer4,Employed,Married,Bachelor,5.0,89.0,63.516572,41449.0,7083.212357
SUV,Basic,Offer2,Unemployed,Married,Bachelor,1.0,102.0,660.430456,0.0,3567.503755
Luxury SUV,Extended,Offer2,Employed,Married,Master,2.0,249.0,753.760098,82081.0,50568.25912
Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,2.0,93.0,19.170855,69268.0,11218.44173
Two-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,2.0,65.0,312.0,0.0,21423.63723
SUV,Premium,Offer1,Employed,Divorced,Bachelor,3.0,171.0,237.264543,20705.0,13115.40751
Four-Door Car,Basic,Offer3,Employed,Married,College,6.0,65.0,312.0,58443.0,5143.647642
Luxury SUV,Basic,Offer1,Employed,Single,High School or Below,2.0,198.0,950.4,40740.0,55277.44589
Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,73.0,350.4,45106.0,17476.64139
Four-Door Car,Extended,Offer1,Employed,Divorced,Master,1.0,87.0,78.085149,90985.0,3490.028304
SUV,Basic,Offer3,Unemployed,Single,High School or Below,8.0,119.0,856.8,0.0,8024.89992
Four-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,3.0,61.0,117.036869,85756.0,4821.156466
Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,63.0,106.647493,41082.0,15147.93055
Four-Door Car,Basic,Offer3,Retired,Married,High School or Below,1.0,61.0,292.8,27972.0,2227.072755
Four-Door Car,Basic,Offer1,Employed,Single,Master,3.0,71.0,380.919824,37675.0,5704.679894
Four-Door Car,Extended,Offer3,Unemployed,Single,College,1.0,79.0,568.8,0.0,2827.55957
Two-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2.0,62.0,36.285512,78337.0,21892.3539
SUV,Basic,Offer1,Employed,Married,High School or Below,6.0,108.0,367.150034,88294.0,8693.649178
SUV,Extended,Offer2,Employed,Single,Bachelor,1.0,130.0,624.0,48567.0,5015.009472
Four-Door Car,Extended,Offer2,Unemployed,Married,College,1.0,91.0,596.050118,0.0,3444.967503
Four-Door Car,Basic,Offer1,Employed,Married,College,4.0,65.0,74.666163,81839.0,5207.985921
Luxury Car,Extended,Offer1,Employed,Married,Bachelor,2.0,230.0,151.528482,88220.0,27776.28906
SUV,Extended,Offer4,Unemployed,Married,College,6.0,122.0,684.851797,0.0,8701.363763
Four-Door Car,Extended,Offer4,Disabled,Married,High School or Below,4.0,89.0,427.2,15871.0,6838.767672
Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,63.0,453.6,0.0,2242.574431
Four-Door Car,Basic,Offer3,Unemployed,Divorced,College,2.0,68.0,350.207614,0.0,7222.850848
Four-Door Car,Extended,Offer1,Employed,Married,College,1.0,99.0,525.515271,54964.0,3991.727249
Four-Door Car,Extended,Offer1,Unemployed,Divorced,College,1.0,99.0,475.2,0.0,3618.432755
SUV,Basic,Offer2,Employed,Married,College,2.0,109.0,132.139111,80807.0,21991.61598
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,2.0,62.0,17.742954,70014.0,7366.1883
SUV,Premium,Offer1,Employed,Married,High School or Below,1.0,171.0,1129.929433,43758.0,6803.596768
Four-Door Car,Basic,Offer1,Employed,Divorced,College,8.0,73.0,13.949992,72354.0,5783.175676
Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,8.0,67.0,80.753763,0.0,5028.839465
Four-Door Car,Basic,Offer3,Unemployed,Married,High School or Below,4.0,68.0,342.468248,0.0,4953.358432
Four-Door Car,Extended,Offer1,Unemployed,Divorced,Bachelor,1.0,80.0,336.50961,0.0,2838.067784
Two-Door Car,Basic,Offer4,Employed,Married,College,1.0,61.0,292.953446,32764.0,2452.726922
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,3.0,72.0,465.763576,26811.0,5700.761833
SUV,Extended,Offer4,Medical Leave,Married,Doctor,3.0,131.0,740.05751,22821.0,10232.85415
SUV,Extended,Offer1,Unemployed,Single,High School or Below,6.0,133.0,1443.455106,0.0,9460.17545
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,3.0,80.0,141.628547,90035.0,6438.97103
Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,9.0,105.0,108.025547,98677.0,8531.401125
Four-Door Car,Extended,Offer3,Employed,Single,College,2.0,89.0,94.814032,67267.0,13917.37715
SUV,Extended,Offer2,Employed,Married,Bachelor,1.0,121.0,640.835113,49793.0,4783.917752
SUV,Basic,Offer2,Employed,Married,High School or Below,1.0,103.0,8.281829,64478.0,4144.868939
Luxury SUV,Basic,Offer4,Employed,Married,Master,6.0,191.0,554.926724,72026.0,15485.80378
SUV,Extended,Offer2,Unemployed,Single,High School or Below,3.0,123.0,1088.38378,0.0,8827.229838
SUV,Basic,Offer4,Employed,Married,Bachelor,3.0,106.0,49.234943,70624.0,8471.292552
Two-Door Car,Basic,Offer1,Disabled,Married,College,1.0,73.0,153.200014,29051.0,2775.080095
Four-Door Car,Extended,Offer4,Employed,Single,College,2.0,83.0,42.693918,76456.0,13027.41984
Four-Door Car,Basic,Offer4,Employed,Divorced,High School or Below,2.0,69.0,331.2,40082.0,8031.706693
Two-Door Car,Extended,Offer1,Unemployed,Married,College,8.0,98.0,470.4,0.0,7292.913911
